sample_fp	plate	well	tile	cycle	channel
/lab/ops_data/pumori/input_sbs/plate_1/C7/B1_1_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	1	7	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C7/B1_1_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	1	7	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C7/B1_1_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	1	7	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C7/B1_1_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	1	7	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C8/B1_1_0_Fluorescence_405_nm_Ex.tiff	1	B1	1	8	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C8/B1_1_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	1	8	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C8/B1_1_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	1	8	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C8/B1_1_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	1	8	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C8/B1_1_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	1	8	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C9/B1_1_0_Fluorescence_405_nm_Ex.tiff	1	B1	1	9	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C9/B1_1_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	1	9	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C9/B1_1_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	1	9	561_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C9/B1_1_0_Fluorescence_638_nm_Ex_-_1.tiff	1	B1	1	9	638_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C9/B1_1_0_Fluorescence_638_nm_Ex_-_2.tiff	1	B1	1	9	638_nm_Ex_-_2
/lab/ops_data/pumori/input_sbs/plate_1/C10/B1_1_0_Fluorescence_405_nm_Ex.tiff	1	B1	1	10	405_nm_Ex
/lab/ops_data/pumori/input_sbs/plate_1/C10/B1_1_0_Fluorescence_561_nm_Ex_-_1.tiff	1	B1	1	10	561_nm_Ex_-_1
/lab/ops_data/pumori/input_sbs/plate_1/C10/B1_1_0_Fluorescence_561_nm_Ex_-_2.tiff	1	B1	1	10	561_nm_Ex_-_2
